iter	Logloss
0	0.6205723277
1	0.5695823268
2	0.5383915951
3	0.5127890068
4	0.4875571803
5	0.46755173
6	0.4622178998
7	0.4504666512
8	0.4355259142
9	0.4276718407
10	0.4221958629
11	0.4105375591
12	0.4043262147
13	0.4028793603
14	0.4012342219
15	0.3997238962
16	0.3967268827
17	0.3941406785
18	0.3923376786
19	0.3901165879
20	0.3895902935
21	0.3876513565
22	0.3829785263
23	0.3806354723
24	0.378037784
25	0.375518317
26	0.372033156
27	0.3705827144
28	0.3685026738
29	0.3670449776
30	0.3641086244
31	0.3625326859
32	0.360663752
33	0.3592787358
34	0.3579265929
35	0.3551626908
36	0.3545478419
37	0.3515119318
38	0.3489710222
39	0.3475882815
40	0.3452267831
41	0.3433926766
42	0.342005733
43	0.3405081498
44	0.3390623929
45	0.3377423203
46	0.3358393887
47	0.3343930161
48	0.3333148086
49	0.3313424094
50	0.329795998
51	0.3277048211
52	0.3256825765
53	0.3244557431
54	0.3235843592
55	0.3222916453
56	0.321324479
57	0.3206024705
58	0.3203101978
59	0.3181050886
60	0.3174141599
61	0.3152059187
62	0.3127055921
63	0.3118350916
64	0.3110319974
65	0.3097362318
66	0.3085119682
67	0.3060689826
68	0.30485449
69	0.3037402237
70	0.3029342919
71	0.3015967654
72	0.3001681947
73	0.2994403504
74	0.2986672385
75	0.2979238677
76	0.2972701491
77	0.2966216506
78	0.2953482645
79	0.2947859379
80	0.2941698309
81	0.2931189821
82	0.292307509
83	0.2911816513
84	0.2896716469
85	0.2881457948
86	0.2877426683
87	0.2873556037
88	0.2862776639
89	0.2843558328
90	0.2835057844
91	0.2830342075
92	0.2829194186
93	0.2820086027
94	0.2814867522
95	0.2803901539
96	0.278556208
97	0.2782770525
98	0.2775482981
99	0.2767981278
