iter	Passed	Remaining
0	27	2739
1	56	2755
2	80	2597
3	111	2674
4	142	2699
5	169	2658
6	196	2613
7	225	2595
8	242	2455
9	258	2326
10	276	2233
11	290	2127
12	303	2032
13	318	1953
14	332	1886
15	346	1821
16	361	1765
17	375	1710
18	389	1659
19	404	1617
20	420	1580
21	437	1550
22	452	1516
23	469	1485
24	482	1448
25	496	1412
26	510	1380
27	525	1350
28	536	1314
29	550	1283
30	562	1251
31	576	1225
32	592	1202
33	610	1185
34	628	1166
35	644	1145
36	659	1122
37	674	1100
38	690	1079
39	707	1061
40	722	1040
41	744	1028
42	767	1017
43	792	1009
44	811	991
45	830	974
46	845	953
47	862	933
48	880	916
49	894	894
50	909	873
51	924	853
52	939	833
53	954	812
54	966	791
55	980	770
56	993	749
57	1006	728
58	1019	708
59	1032	688
60	1044	667
61	1058	648
62	1072	629
63	1085	610
64	1099	591
65	1112	573
66	1125	554
67	1138	535
68	1152	517
69	1165	499
70	1179	481
71	1195	464
72	1208	446
73	1220	428
74	1233	411
75	1250	394
76	1264	377
77	1279	361
78	1298	345
79	1313	328
80	1325	310
81	1340	294
82	1355	277
83	1369	260
84	1382	243
85	1395	227
86	1408	210
87	1422	193
88	1436	177
89	1452	161
90	1466	145
91	1479	128
92	1498	112
93	1515	96
94	1533	80
95	1546	64
96	1561	48
97	1575	32
98	1588	16
99	1601	0
